web-scraper-order,web-scraper-start-url,Rank,City / Town,Russian,Federal subject,Federal district,2021 estimate,2010 Census
1653023906-32563,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,1,Moscow,Москва,Moscow (federal city)[3],Central,"12,655,050","11,503,501"
1653023906-32564,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,2,Saint Petersburg,Санкт-Петербург,Saint Petersburg (federal city)[4],Northwest,"5,384,342","4,879,566"
1653023906-32565,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,3,Novosibirsk,Новосибирск,Novosibirsk Oblast,Siberia,"1,620,162","1,473,754"
1653023906-32566,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,4,Yekaterinburg,Екатеринбург,Sverdlovsk Oblast,Ural,"1,495,066","1,349,772"
1653023906-32567,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,5,Kazan,Казань,Republic of Tatarstan,Volga,"1,257,341","1,143,535"
1653023906-32568,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,6,Nizhny Novgorod,Нижний Новгород,Nizhny Novgorod Oblast,Volga,"1,244,254","1,250,619"
1653023906-32569,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,7,Chelyabinsk,Челябинск,Chelyabinsk Oblast,Ural,"1,187,960","1,130,132"
1653023906-32570,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,8,Samara,Самара,Samara Oblast,Volga,"1,144,759","1,164,685"
1653023906-32571,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,9,Omsk,Омск,Omsk Oblast,Siberia,"1,139,897","1,154,119"
1653023906-32572,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,10,Rostov-on-Don,Ростов-на-Дону,Rostov Oblast,South[5],"1,137,704","1,089,261"
1653023906-32573,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,11,Ufa,Уфа,Republic of Bashkortostan,Volga,"1,125,933","1,062,319"
1653023906-32574,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,12,Krasnoyarsk,Красноярск,Krasnoyarsk Krai,Siberia,"1,092,851","973,826"
1653023906-32575,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,13,Voronezh,Воронеж,Voronezh Oblast,Central,"1,050,602","889,680"
1653023906-32576,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,14,Perm,Пермь,Perm Krai,Volga,"1,049,199","991,162"
1653023906-32577,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,15,Volgograd,Волгоград,Volgograd Oblast,South,"1,004,763","1,021,215"
1653023906-32578,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,16,Krasnodar,Краснодар,Krasnodar Krai,South,"948,827","744,995"
1653023906-32579,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,17,Saratov,Саратов,Saratov Oblast,Volga,"830,155","837,900"
1653023906-32580,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,18,Tyumen,Тюмень,Tyumen Oblast,Ural,"816,700","581,907"
1653023906-32581,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,19,Tolyatti,Тольятти,Samara Oblast,Volga,"693,072","719,632"
1653023906-32582,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,20,Izhevsk,Ижевск,Udmurt Republic,Volga,"646,468","627,734"
1653023906-32583,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,21,Barnaul,Барнаул,Altai Krai,Siberia,"631,124","612,401"
1653023906-32584,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,22,Ulyanovsk,Ульяновск,Ulyanovsk Oblast,Volga,"625,462","614,786"
1653023906-32585,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,23,Irkutsk,Иркутск,Irkutsk Oblast,Siberia,"617,515","587,891"
1653023906-32586,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,24,Khabarovsk,Хабаровск,Khabarovsk Krai,Far East,"610,305","577,441"
1653023906-32587,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,25,Makhachkala,Махачкала,Republic of Dagestan,North Caucasus,"604,266","572,076"
1653023906-32588,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,26,Yaroslavl,Ярославль,Yaroslavl Oblast,Central,"601,403","591,486"
1653023906-32589,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,27,Vladivostok,Владивосток,Primorsky Krai,Far East,"600,871","592,034"
1653023906-32590,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,28,Orenburg,Оренбург,Orenburg Oblast,Volga,"572,819","548,331"
1653023906-32591,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,29,Tomsk,Томск,Tomsk Oblast,Siberia,"568,508","524,669"
1653023906-32592,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,30,Kemerovo,Кемерово,Kemerovo Oblast,Siberia,"552,546","532,981"
1653023906-32593,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,31,Novokuznetsk,Новокузнецк,Kemerovo Oblast,Siberia,"544,583","547,904"
1653023906-32594,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,32,Ryazan,Рязань,Ryazan Oblast,Central,"534,801","524,927"
1653023906-32595,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,33,Naberezhnye Chelny,Набережные Челны,Republic of Tatarstan,Volga,"532,074","513,193"
1653023906-32596,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,34,Astrakhan,Астрахань,Astrakhan Oblast,South,"524,371","520,339"
1653023906-32597,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,35,Kirov,Киров,Kirov Oblast,Volga,"521,091","473,695"
1653023906-32598,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,36,Penza,Пенза,Penza Oblast,Volga,"516,450","517,311"
1653023906-32599,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,37,Balashikha,Балашиха,Moscow Oblast,Central,"507,307","215,494"
1653023906-32600,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,38,Lipetsk,Липецк,Lipetsk Oblast,Central,"503,216","508,887"
1653023906-32601,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,39,Cheboksary,Чебоксары,Chuvash Republic,Volga,"495,810","453,721"
1653023906-32602,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,40,Kaliningrad,Калининград,Kaliningrad Oblast,Northwest,"493,256","431,902"
1653023906-32603,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,41,Tula,Тула,Tula Oblast,Central,"467,955","501,169"
1653023906-32605,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,42,Stavropol,Ставрополь,Stavropol Krai,North Caucasus,"454,488","398,539"
1653023906-32606,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,43,Kursk,Курск,Kursk Oblast,Central,"450,977","415,159"
1653023906-32607,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,44,Ulan-Ude,Улан-Удэ,Republic of Buryatia,Far East,"437,514","404,426"
1653023906-32608,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,45,Sochi,Сочи,Krasnodar Krai,South,"432,322","343,334"
1653023906-32609,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,46,Tver,Тверь,Tver Oblast,Central,"424,969","403,606"
1653023906-32610,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,47,Magnitogorsk,Магнитогорск,Chelyabinsk Oblast,Ural,"413,251","407,775"
1653023906-32611,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,48,Ivanovo,Иваново,Ivanovo Oblast,Central,"401,505","408,330"
1653023906-32612,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,49,Bryansk,Брянск,Bryansk Oblast,Central,"399,579","415,721"
1653023906-32613,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,50,Belgorod,Белгород,Belgorod Oblast,Central,"391,702","356,402"
1653023906-32614,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,51,Surgut,Сургут,Khanty-Mansi Autonomous Okrug-Yugra,Ural,"387,235","306,675"
1653023906-32615,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,52,Vladimir,Владимир,Vladimir Oblast,Central,"352,347","345,373"
1653023906-32616,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,53,Chita,Чита,Zabaykalsky Krai,Far East,"350,861","324,444"
1653023906-32617,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,54,Arkhangelsk,Архангельск,Arkhangelsk Oblast,Northwest,"344,927","348,783"
1653023906-32618,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,55,Nizhny Tagil,Нижний Тагил,Sverdlovsk Oblast,Ural,"344,656","361,811"
1653023906-32620,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,56,Kaluga,Калуга,Kaluga Oblast,Central,"331,842","324,698"
1653023906-32621,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,57,Yakutsk,Якутск,Sakha (Yakutia) Republic,Far East,"330,615","269,601"
1653023906-32622,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,58,Grozny,Грозный,Chechen Republic,North Caucasus,"324,602","271,573"
1653023906-32623,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,59,Volzhsky,Волжский,Volgograd Oblast,South,"323,853","314,255"
1653023906-32624,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,60,Smolensk,Смоленск,Smolensk Oblast,Central,"320,170","326,861"
1653023906-32625,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,61,Saransk,Саранск,Republic of Mordovia,Volga,"317,432","297,415"
1653023906-32626,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,62,Cherepovets,Череповец,Vologda Oblast,Northwest,"312,091","312,310"
1653023906-32627,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,63,Kurgan,Курган,Kurgan Oblast,Ural,"309,285","333,606"
1653023906-32628,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,64,Podolsk,Подольск,Moscow Oblast,Central,"309,250","187,961"
1653023906-32629,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,65,Vologda,Вологда,Vologda Oblast,Northwest,"308,530","301,755"
1653023906-32630,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,66,Oryol,Орёл,Oryol Oblast,Central,"303,696","317,747"
1653023906-32631,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,67,Vladikavkaz,Владикавказ,Republic of North Ossetia-Alania,North Caucasus,"301,543","311,693"
1653023906-32632,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,68,Tambov,Тамбов,Tambov Oblast,Central,"289,701","280,161"
1653023906-32633,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,69,Murmansk,Мурманск,Murmansk Oblast,Northwest,"282,851","307,257"
1653023906-32634,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,70,Petrozavodsk,Петрозаводск,Republic of Karelia,Northwest,"280,711","261,987"
1653023906-32635,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,71,Nizhnevartovsk,Нижневартовск,Khanty-Mansi Autonomous Okrug-Yugra,Ural,"278,725","251,694"
1653023906-32636,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,72,Kostroma,Кострома,Kostroma Oblast,Central,"277,393","268,742"
1653023906-32637,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,73,Yoshkar-Ola,Йошкар-Ола,Mari El Republic,Volga,"276,155","248,782"
1653023906-32638,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,74,Novorossiysk,Новороссийск,Krasnodar Krai,South,"275,795","241,952"
1653023906-32639,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,75,Sterlitamak,Стерлитамак,Republic of Bashkortostan,Volga,"274,134","273,486"
1653023906-32640,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,76,Khimki,Химки,Moscow Oblast,Central,"257,757","207,425"
1653023906-32641,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,77,Taganrog,Таганрог,Rostov Oblast,South,"248,269","257,681"
1653023906-32642,https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia_by_population,78,Mytishchi,Мытищи,Moscow Oblast,Central,"245,643","173,160"
