web-scraper-order,web-scraper-start-url,City,Russian name,Federal subject
"1653020618-109","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Bogorodsk","Богородск","Nizhny Novgorod Oblast"
"1653020618-161","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Chusovoy","Чусовой","Perm Krai"
"1653020618-639","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Olonets","Олонец","Karelia"
"1653020618-97","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Birobidzhan","Биробиджан","Jewish Autonomous Oblast"
"1653020618-745","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Rubtsovsk","Рубцовск","Altai Krai"
"1653020618-891","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Sychyovka","Сычёвка","Smolensk Oblast"
"1653020618-1074","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Zapadnaya Dvina","Западная Двина","Tver Oblast"
"1653020618-597","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Novocherkassk","Новочеркасск","Rostov Oblast"
"1653020618-988","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Verkhnyaya Pyshma","Верхняя Пышма","Sverdlovsk Oblast"
"1653020618-967","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Ust-Katav","Усть-Катав","Chelyabinsk Oblast"
"1653020618-678","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Petergof","Петергоф","Saint Petersburg"
"1653020618-1012","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Volsk","Вольск","Saratov Oblast"
"1653020618-609","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Novosibirsk","Новосибирск","Novosibirsk Oblast"
"1653020618-159","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Chukhloma","Чухлома","Kostroma Oblast"
"1653020618-537","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Murashi","Мураши","Kirov Oblast"
"1653020618-81","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Belorechensk","Белореченск","Krasnodar Krai"
"1653020618-915","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Timashyovsk","Тимашёвск","Krasnodar Krai"
"1653020618-832","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Sokol","Сокол","Vologda Oblast"
"1653020618-166","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Dalnerechensk","Дальнереченск","Primorsky Krai"
"1653020618-355","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kola","Кола","Murmansk Oblast"
"1653020618-220","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Glazov","Глазов","Udmurtia"
"1653020618-780","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Sergiyev Posad","Сергиев Посад","Moscow Oblast"
"1653020618-568","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Nesterov","Нестеров","Kaliningrad Oblast"
"1653020618-247","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Gvardeysk","Гвардейск","Kaliningrad Oblast"
"1653020618-452","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Lensk","Ленск","Sakha Republic"
"1653020618-411","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Krasny Sulin","Красный Сулин","Rostov Oblast"
"1653020618-515","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Mikhaylov","Михайлов","Ryazan Oblast"
"1653020618-862","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Staraya Russa","Старая Русса","Novgorod Oblast"
"1653020618-131","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Buinsk","Буинск","Republic of Tatarstan"
"1653020618-113","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Bolgar","Болгар","Republic of Tatarstan"
"1653020618-92","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Berezovsky","Березовский","Sverdlovsk Oblast"
"1653020618-397","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Krasnokamsk","Краснокамск","Perm Krai"
"1653020618-244","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Gus-Khrustalny","Гусь-Хрустальный","Vladimir Oblast"
"1653020618-922","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Topki","Топки","Kemerovo Oblast"
"1653020618-998","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Vilyuchinsk","Вилючинск","Kamchatka Krai"
"1653020618-475","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Lytkarino","Лыткарино","Moscow Oblast"
"1653020618-455","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Lesosibirsk","Лесосибирск","Krasnoyarsk Krai"
"1653020618-648","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Orlov","Орлов","Kirov Oblast"
"1653020618-456","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Lesozavodsk","Лесозаводск","Primorsky Krai"
"1653020618-285","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Kameshkovo","Камешково","Vladimir Oblast"
"1653020618-493","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Mamonovo","Мамоново","Kaliningrad Oblast"
"1653020618-829","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Snezhnogorsk","Снежногорск","Murmansk Oblast"
"1653020618-752","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Rybnoye","Рыбное","Ryazan Oblast"
"1653020618-192","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Dudinka","Дудинка","Krasnoyarsk Krai"
"1653020618-823","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Slavsk","Славск","Kaliningrad Oblast"
"1653020618-76","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Belgorod","Белгород","Belgorod Oblast"
"1653020618-1025","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Vyazniki","Вязники","Vladimir Oblast"
"1653020618-1020","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Vsevolozhsk","Всеволожск","Leningrad Oblast"
"1653020618-556","https://en.wikipedia.org/wiki/List_of_cities_and_towns_in_Russia","Nazarovo","Назарово","Krasnoyarsk Krai"
